[1/3/2026, 11:21:46 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:58 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:58 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:58 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setLocales
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:21:59 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setLocales
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setLocales
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:22:00 PM]:[WARN] - [From web content: 12],[desktop] Unhandled message,setTabColor
[1/3/2026, 11:22:21 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,initLivegraph
[1/3/2026, 11:22:21 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,setThemePreference
[1/3/2026, 11:22:22 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[1/3/2026, 11:22:22 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,setLocales
[1/3/2026, 11:22:22 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,getKeyboardLayout
[1/3/2026, 11:22:22 PM]:[WARN] - [From web content: 13],[desktop] Unhandled message,setTabColor
